,EOS
1349,330.0
1350,252.0
1351,324.0
1352,252.0
1353,235.0
1354,342.0
1355,451.0
1356,226.0
1357,270.0
1358,234.0
1359,418.0
1360,228.0
1361,307.0
1362,301.0
1363,300.0
1364,391.0
1365,249.0
1366,212.0
1367,279.0
1368,316.0
1369,200.0
1370,306.0
1371,290.0
1372,356.0
1373,217.0
1374,608.0
1375,379.0
1376,416.0
1377,346.0
1378,434.0
1379,326.0
1380,290.0
1381,281.0
1382,717.0
1383,563.0
1384,632.0
1385,695.0
1386,282.0
1387,311.0
1388,451.0
1389,381.0
1390,322.0
1391,289.0
1392,325.0
1393,253.0
1394,270.0
1395,230.0
1396,367.0
1397,400.0
1398,270.0
1399,260.0
1400,308.0
1401,
1402,280.0
1403,280.0
1404,288.0
1405,181.0
1406,198.0
1407,177.0
1408,171.0
1409,174.0
1410,269.0
1411,262.0
1412,271.0
1413,243.0
1414,308.0
1415,228.0
1416,150.0
1417,260.0
1418,
1419,422.0
1420,366.0
1421,377.0
1422,327.0
1423,290.0
1424,271.0
1425,206.0
1426,280.0
1427,284.0
1428,293.0
1429,271.0
1430,270.0
1431,
1432,
1433,163.0
1434,211.0
1435,195.0
1436,255.0
1437,216.0
1438,434.0
1439,309.0
1440,
1441,
1442,
1443,226.0
1444,222.0
1445,
1446,163.0
1447,270.0
1448,272.0
1449,201.0
1450,377.0
1451,270.0
1452,271.0
1453,217.0
1454,279.0
1455,
1456,228.0
1457,179.0
1458,198.0
1459,188.0
1460,279.0
1461,271.0
1462,270.0
1463,253.0
